filename,model_target,downstream_task,perturbation_technique,codemix_lang,perturb_ratio,before_attack_acc,after_attack_acc,delta_acc,avg_semantic_sim,avg_running_time(s),adv_training,acc_improvement_on_adv_train,acc_adv_training_on_orig,orig_acc_vs_adv,best_epoch
indobert-emotion-codemixing-en-adv-0.2.csv,indobert,emotion,codemixing,en,0.2,0.7181818181818181,0.6295454545454545,0.08863636363636362,0.9514105986465108,0.4386613636363636,0.6886363636363636,0.05909090909090908,0.7545454545454545,0.036363636363636376,3.0
indobert-emotion-codemixing-en-adv-0.4.csv,indobert,emotion,codemixing,en,0.4,0.7181818181818181,0.6272727272727273,0.09090909090909083,0.9445956540378656,0.4233929545454545,0.6909090909090909,0.0636363636363636,0.7659090909090909,0.04772727272727273,5.0
indobert-emotion-codemixing-en-adv-0.6.csv,indobert,emotion,codemixing,en,0.6,0.7181818181818181,0.6272727272727273,0.09090909090909083,0.9372156705368648,0.2297763636363636,0.6886363636363636,0.06136363636363629,0.759090909090909,0.040909090909090895,5.0
indobert-emotion-codemixing-en-adv-0.8.csv,indobert,emotion,codemixing,en,0.8,0.7181818181818181,0.625,0.09318181818181814,0.9285800722512332,0.2578963636363636,0.6863636363636364,0.0613636363636364,0.7659090909090909,0.04772727272727273,5.0
indobert-emotion-codemixing-fr-adv-0.2.csv,indobert,emotion,codemixing,fr,0.2,0.7181818181818181,0.6318181818181818,0.08636363636363631,0.9479422130367972,0.4475322727272727,0.675,0.04318181818181821,0.7522727272727273,0.03409090909090917,5.0
indobert-emotion-codemixing-fr-adv-0.4.csv,indobert,emotion,codemixing,fr,0.4,0.7181818181818181,0.6090909090909091,0.10909090909090902,0.9370339445092462,0.4517106818181818,0.6727272727272727,0.0636363636363636,0.7477272727272727,0.02954545454545454,3.0
indobert-emotion-codemixing-fr-adv-0.6.csv,indobert,emotion,codemixing,fr,0.6,0.7181818181818181,0.6022727272727273,0.11590909090909085,0.9250656504522672,0.3029836363636363,0.6772727272727272,0.07499999999999996,0.7477272727272727,0.02954545454545454,4.0
indobert-emotion-codemixing-fr-adv-0.8.csv,indobert,emotion,codemixing,fr,0.8,0.7181818181818181,0.5909090909090909,0.1272727272727272,0.9140964299440384,0.2875447727272727,0.6568181818181819,0.06590909090909092,0.7340909090909091,0.015909090909090984,1.0
indobert-emotion-sr-adv-0.2.csv,indobert,emotion,sr,id,0.2,0.7181818181818181,0.5909090909090909,0.1272727272727272,0.9501256522807208,0.4343918181818181,0.6363636363636364,0.045454545454545414,0.740909090909091,0.022727272727272818,0.0
indobert-emotion-sr-adv-0.4.csv,indobert,emotion,sr,id,0.4,0.7181818181818181,0.5568181818181818,0.1613636363636363,0.9401783357289704,0.4336838636363636,0.6272727272727273,0.07045454545454555,0.7454545454545455,0.027272727272727337,5.0
indobert-emotion-sr-adv-0.6.csv,indobert,emotion,sr,id,0.6,0.7181818181818181,0.5386363636363637,0.1795454545454544,0.9331250679086556,0.2989904545454545,0.625,0.08636363636363631,0.7363636363636363,0.018181818181818188,0.0
indobert-emotion-sr-adv-0.8.csv,indobert,emotion,sr,id,0.8,0.7181818181818181,0.5545454545454546,0.1636363636363635,0.92570628720251,0.2759893181818181,0.6318181818181818,0.07727272727272727,0.7454545454545455,0.027272727272727337,4.0
indobert-emotion-codemixing-it-adv-0.2.csv,indobert,emotion,codemixing,it,0.2,0.7181818181818181,0.6204545454545455,0.09772727272727266,0.9484679388729008,0.4394488636363636,0.6840909090909091,0.0636363636363636,0.7659090909090909,0.04772727272727273,5.0
indobert-emotion-codemixing-it-adv-0.4.csv,indobert,emotion,codemixing,it,0.4,0.7181818181818181,0.6,0.11818181818181817,0.937414074587551,0.4370736363636363,0.6795454545454546,0.07954545454545459,0.7477272727272727,0.02954545454545454,4.0
indobert-emotion-codemixing-it-adv-0.6.csv,indobert,emotion,codemixing,it,0.6,0.7181818181818181,0.5886363636363636,0.12954545454545452,0.926009804586118,0.2673859090909091,0.6704545454545454,0.08181818181818179,0.7386363636363636,0.020454545454545503,4.0
indobert-emotion-codemixing-it-adv-0.8.csv,indobert,emotion,codemixing,it,0.8,0.7181818181818181,0.5772727272727273,0.14090909090909087,0.9143836146051232,0.2482413636363636,0.6613636363636364,0.0840909090909091,0.7340909090909091,0.015909090909090984,5.0
indobert-emotion-codemixing-jw-adv-0.2.csv,indobert,emotion,codemixing,jw,0.2,0.7181818181818181,0.6386363636363637,0.07954545454545447,0.954288380660794,0.4555686363636363,0.6909090909090909,0.05227272727272725,0.740909090909091,0.022727272727272818,4.0
indobert-emotion-codemixing-jw-adv-0.4.csv,indobert,emotion,codemixing,jw,0.4,0.7181818181818181,0.6431818181818182,0.07499999999999996,0.9497475488619372,0.4309513636363636,0.6772727272727272,0.03409090909090906,0.7386363636363636,0.020454545454545503,0.0
indobert-emotion-codemixing-jw-adv-0.6.csv,indobert,emotion,codemixing,jw,0.6,0.7181818181818181,0.625,0.09318181818181814,0.9447078096595678,0.2581043181818181,0.6681818181818182,0.04318181818181821,0.7545454545454545,0.036363636363636376,5.0
indobert-emotion-codemixing-jw-adv-0.8.csv,indobert,emotion,codemixing,jw,0.8,0.7181818181818181,0.625,0.09318181818181814,0.9374847462908787,0.2683709090909091,0.6886363636363636,0.0636363636363636,0.7522727272727273,0.03409090909090917,4.0
indobert-emotion-codemixing-ms-adv-0.2.csv,indobert,emotion,codemixing,ms,0.2,0.7181818181818181,0.634090909090909,0.0840909090909091,0.9565392950719052,0.4470272727272727,0.6954545454545454,0.0613636363636364,0.7613636363636364,0.04318181818181821,3.0
