,filename,model_target,downstream_task,perturbation_technique,codemix_lang,perturb_ratio,before_attack_acc,after_attack_acc,delta_acc,avg_semantic_sim,avg_running_time(s)
0,indobert-emotion-codemixing-en-adv-0.2-valid.csv,indobert,emotion,codemixing,en,0.2,0.7053030303030302,0.5765151515151515,0.12878787878787873,0.955227245029175,6.225575757575758
1,indobert-emotion-codemixing-en-adv-0.4-valid.csv,indobert,emotion,codemixing,en,0.4,0.7053030303030302,0.5272727272727272,0.17803030303030298,0.894651987132701,4.498273939393939
2,indobert-emotion-codemixing-en-adv-0.6-valid.csv,indobert,emotion,codemixing,en,0.6,0.7053030303030302,0.49393939393939396,0.2113636363636363,0.8459178718653592,5.858192954545454
3,indobert-emotion-codemixing-en-adv-0.8-valid.csv,indobert,emotion,codemixing,en,0.8,0.7053030303030302,0.5053030303030303,0.19999999999999993,0.8101429096112649,6.938808106060606
4,indobert-emotion-codemixing-fr-adv-0.2-valid.csv,indobert,emotion,codemixing,fr,0.2,0.7053030303030302,0.5136363636363636,0.19166666666666662,0.9503155062144453,5.341136363636363
5,indobert-emotion-codemixing-fr-adv-0.4-valid.csv,indobert,emotion,codemixing,fr,0.4,0.7053030303030302,0.434090909090909,0.27121212121212124,0.895839548246427,6.541325757575758
6,indobert-emotion-codemixing-fr-adv-0.6-valid.csv,indobert,emotion,codemixing,fr,0.6,0.7053030303030302,0.40151515151515144,0.3037878787878788,0.8500668501312082,8.602613636363637
7,indobert-emotion-codemixing-fr-adv-0.8-valid.csv,indobert,emotion,codemixing,fr,0.8,0.7053030303030302,0.40757575757575754,0.2977272727272727,0.8244991063168555,12.730962121212121
8,indobert-emotion-codemixing-it-adv-0.2-valid.csv,indobert,emotion,codemixing,it,0.2,0.7053030303030302,0.5303030303030303,0.17499999999999996,0.9550362504792935,5.616454545454545
9,indobert-emotion-codemixing-it-adv-0.4-valid.csv,indobert,emotion,codemixing,it,0.4,0.7053030303030302,0.4492424242424242,0.25606060606060604,0.9057440021724411,7.043818181818182
10,indobert-emotion-codemixing-it-adv-0.6-valid.csv,indobert,emotion,codemixing,it,0.6,0.7053030303030302,0.4287878787878787,0.27651515151515155,0.8597337326317124,8.685560606060607
11,indobert-emotion-codemixing-it-adv-0.8-valid.csv,indobert,emotion,codemixing,it,0.8,0.7053030303030302,0.42196969696969694,0.28333333333333327,0.8326490050915516,11.661272727272726
12,indobert-emotion-codemixing-jw-adv-0.2-valid.csv,indobert,emotion,codemixing,jw,0.2,0.7053030303030302,0.5765151515151515,0.1287878787878787,0.9721696089162971,5.949992424242424
